training_loss_SGD,training_acc_SGD,testing_loss_SGD,testing_acc_SGD,testing_loss_SGD_S,testing_acc_SGD_S,training_loss_Adam,training_acc_Adam,testing_loss_Adam,testing_acc_Adam,testing_loss_Adam_S,testing_acc_Adam_S
0.007449264835119248,0.47206000000000004,0.006946903389692306,0.5064000000000001,0.025504691171646117,0.1845,0.006969191335439682,0.5098,0.006377146261930465,0.5433,0.01738294188237369,0.7647
0.0070908179843425755,0.49560000000000004,0.006715035057067871,0.5228,0.030411644721031188,0.17850000000000002,0.006963533083200454,0.5100600000000001,0.006408677798509598,0.5445,0.017346593450139166,0.771
0.007062495926618576,0.4993,0.006486501914262772,0.5355,0.027003261780738832,0.16970000000000002,0.006875904417037964,0.51456,0.006114688330888748,0.5648000000000001,0.01875571502117455,0.7742
0.007031330690383911,0.50134,0.00642454195022583,0.546,0.02349021339416504,0.1874,0.006905756027698517,0.51412,0.0061442517817020415,0.5555,0.019829863330360055,0.7509
0.0069940491938591,0.50266,0.0065200745105743405,0.5355,0.030086567854881285,0.1637,0.006827595770359039,0.5198200000000001,0.006089540266990661,0.5614,0.02002048185785055,0.7582
0.006971690047979355,0.50016,0.006649213069677353,0.5296000000000001,0.02807495331764221,0.1699,0.006789338036775589,0.5178,0.006078295278549194,0.5582,0.019204511337714194,0.7649
0.006796978429555893,0.5166000000000001,0.006202806335687637,0.5576,0.022800001239776612,0.2056,0.0067587546670436855,0.5208200000000001,0.006085377305746078,0.5616,0.018860806642112135,0.7647
0.006753152185678482,0.51776,0.00622792506814003,0.5578000000000001,0.024219563317298888,0.184,0.006722502845525741,0.5238,0.0059888394176959995,0.5612,0.022270513344123957,0.7498
0.006745216797590256,0.5169600000000001,0.006287487345933914,0.5478000000000001,0.026972386646270753,0.1761,0.006707374053001404,0.52444,0.005969094395637512,0.5678000000000001,0.02032677238456011,0.7671
0.006743706504106522,0.51758,0.006305463021993637,0.5512,0.031186707305908203,0.17,0.006668213486671448,0.5244000000000001,0.006030483990907669,0.5672,0.021536087100103497,0.7636000000000001
0.006741073672771454,0.51664,0.006183284485340119,0.5596,0.023155819821357726,0.2015,0.006684766849279404,0.5246200000000001,0.005912003928422928,0.5725,0.021344859665434954,0.7677
0.0066330257248878475,0.52308,0.0062005216300487515,0.5561,0.023885209131240846,0.2024,0.006605634673833847,0.52742,0.006038833218812942,0.5647,0.02154387428050816,0.7629
0.0066048840236663815,0.5246000000000001,0.006097976368665695,0.5645,0.024575045680999757,0.19720000000000001,0.00660152073264122,0.5276000000000001,0.006217781662940979,0.5584,0.023074107772505282,0.7581
0.0066007961010932925,0.5239600000000001,0.006139402395486832,0.5632,0.023095574378967285,0.2061,0.0065776021027565005,0.53064,0.005909613877534866,0.5700000000000001,0.022700168459823727,0.7693
